Station,Year,Month,Maximum Temperature (Deg.Cel),Minimum Temperature (Deg.Cel),Total Rainfall (mm),Humidity (percent),Wind Speed (m/s),Cloud Coverage (Octs),Sunshine (Hours)
Ambagan (41977),2012,1,27.33,14.9,0.0,,,,
Ambagan (41977),2012,2,30.81,16.51,0.0,,,,
Ambagan (41977),2012,3,31.84,21.95,0.0,,,,
Ambagan (41977),2012,4,32.24,23.65,0.0,,,,
Ambagan (41977),2012,5,33.55,25.16,0.0,,,,
Ambagan (41977),2012,6,32.12,25.58,0.0,,,,
Ambagan (41977),2012,7,30.91,25.47,0.0,,,,
Ambagan (41977),2012,8,32.05,25.65,0.0,,,,
Ambagan (41977),2012,9,32.6,25.72,0.0,,,,
Ambagan (41977),2012,10,32.36,23.82,0.0,,,,
Ambagan (41977),2012,11,30.43,20.02,0.0,,,,
Ambagan (41977),2012,12,27.08,14.33,0.0,,,,
Ambagan (41977),2013,1,26.88,12.74,0.0,,,,
Ambagan (41977),2013,2,31.29,16.74,0.0,,,,
Ambagan (41977),2013,3,32.6,21.09,0.0,,,,
Ambagan (41977),2013,4,33.34,24.37,0.0,,,,
Ambagan (41977),2013,5,30.95,24.55,0.0,,,,
Ambagan (41977),2013,6,32.59,26.0,0.0,,,,
Ambagan (41977),2013,7,31.47,25.83,0.0,,,,
Ambagan (41977),2013,8,31.41,25.71,0.0,,,,
Ambagan (41977),2013,9,32.12,25.48,0.0,,,,
Ambagan (41977),2013,10,31.24,24.02,0.0,,,,
Ambagan (41977),2013,11,31.55,19.12,0.0,,,,
Ambagan (41977),2013,12,28.09,15.84,0.0,,,,
Ambagan (41977),2014,1,27.45,14.21,0.0,,,,
Ambagan (41977),2014,2,28.96,16.59,0.0,,,,
Ambagan (41977),2014,3,32.35,20.56,0.0,,,,
Ambagan (41977),2014,4,35.01,25.12,0.0,,,,
Ambagan (41977),2014,5,33.65,26.07,0.0,,,,
Ambagan (41977),2014,6,32.28,25.54,0.0,,,,
Ambagan (41977),2014,7,32.42,26.14,0.0,,,,
Ambagan (41977),2014,8,31.34,25.49,0.0,,,,
Ambagan (41977),2014,9,32.66,25.38,0.0,,,,
Ambagan (41977),2014,10,32.98,23.98,0.0,,,,
Ambagan (41977),2014,11,31.64,20.05,0.0,,,,
Ambagan (41977),2014,12,28.43,16.07,0.0,,,,
Ambagan (41977),2015,1,27.62,15.62,4.0,74.03,1.68,1.48,7.14
Ambagan (41977),2015,2,29.78,16.84,0.0,67.29,1.64,0.68,7.99
Ambagan (41977),2015,3,33.32,20.74,18.0,62.65,1.95,1.26,8.66
Ambagan (41977),2015,4,32.31,23.47,292.0,81.5,2.08,4.47,6.55
Ambagan (41977),2015,5,33.6,25.81,110.0,82.0,2.13,3.81,7.12
Ambagan (41977),2015,6,32.32,26.24,699.0,85.6,2.19,5.87,4.45
Ambagan (41977),2015,7,30.4,25.37,1466.0,89.39,2.25,6.9,1.83
Ambagan (41977),2015,8,31.51,25.8,586.0,85.52,2.13,6.45,3.89
Ambagan (41977),2015,9,32.68,25.73,390.0,83.93,1.99,5.33,5.29
Ambagan (41977),2015,10,32.23,23.95,349.0,84.81,1.88,3.97,5.31
Ambagan (41977),2015,11,30.92,19.97,4.0,79.1,1.36,1.33,7.68
Ambagan (41977),2015,12,27.21,16.52,9.0,76.68,1.63,2.19,4.99
Ambagan (41977),2016,1,26.8,14.61,2.0,75.71,1.81,1.45,6.7
Ambagan (41977),2016,2,30.22,19.64,17.0,74.62,2.09,2.07,6.06
Ambagan (41977),2016,3,32.91,22.78,65.0,76.42,2.42,2.48,7.42
Ambagan (41977),2016,4,32.8,26.25,36.0,78.6,3.38,4.93,6.29
Ambagan (41977),2016,5,33.28,25.31,274.0,78.81,2.2,4.61,5.85
Ambagan (41977),2016,6,32.75,25.92,268.0,81.37,2.25,5.27,5.53
Ambagan (41977),2016,7,31.22,25.77,583.0,86.42,2.2,6.71,3.23
Ambagan (41977),2016,8,31.78,25.9,390.0,84.94,2.14,6.1,4.85
Ambagan (41977),2016,9,32.64,25.77,386.0,84.57,2.02,5.53,6.16
Ambagan (41977),2016,10,32.73,24.88,157.0,84.81,1.83,4.35,5.95
Ambagan (41977),2016,11,30.19,20.07,96.0,83.53,1.72,1.93,7.57
Ambagan (41977),2016,12,29.38,17.55,0.0,81.35,1.79,0.97,7.67
Ambagan (41977),2017,1,28.83,15.09,0.0,71.32,1.86,0.19,8.64
Ambagan (41977),2017,2,30.86,17.79,0.0,68.79,2.48,0.54,8.57
Ambagan (41977),2017,3,30.55,20.49,120.0,75.97,2.61,2.52,6.86
Ambagan (41977),2017,4,31.79,23.85,419.0,83.87,2.96,4.23,6.26
Ambagan (41977),2017,5,33.72,26.05,333.0,83.13,2.58,3.74,6.32
Ambagan (41977),2017,6,31.87,25.46,753.0,87.83,2.76,6.0,3.98
Ambagan (41977),2017,7,30.85,25.67,1036.0,89.81,2.52,6.65,2.94
Ambagan (41977),2017,8,31.86,25.77,432.0,86.9,2.41,6.16,4.31
Ambagan (41977),2017,9,31.89,25.5,593.0,89.7,1.83,5.77,3.53
Ambagan (41977),2017,10,32.24,24.61,210.0,86.35,2.09,4.32,5.5
Ambagan (41977),2017,11,31.77,21.0,0.0,80.77,1.62,1.43,7.7
Ambagan (41977),2017,12,28.71,17.39,29.0,82.55,1.78,1.68,7.3
Ambagan (41977),2018,1,25.93,13.98,13.0,78.87,1.8,0.84,5.89
Ambagan (41977),2018,2,29.81,18.18,0.0,73.86,1.92,1.04,7.12
Ambagan (41977),2018,3,31.99,21.86,12.0,75.84,2.24,1.84,7.25
Ambagan (41977),2018,4,32.92,23.87,115.0,78.3,2.78,2.97,7.65
Ambagan (41977),2018,5,32.19,24.16,348.0,84.06,2.27,4.23,6.23
Ambagan (41977),2018,6,31.67,25.76,791.0,89.8,2.43,6.13,3.88
Ambagan (41977),2018,7,31.43,25.77,751.0,90.23,2.21,6.45,3.61
Ambagan (41977),2018,8,32.55,25.91,330.0,85.32,2.14,6.16,5.35
Ambagan (41977),2018,9,33.11,25.71,152.0,85.37,2.42,5.07,5.33
Ambagan (41977),2018,10,30.86,23.17,496.0,87.42,1.71,3.68,5.21
Ambagan (41977),2018,11,30.54,19.29,2.0,77.9,1.51,1.07,8.1
Ambagan (41977),2018,12,27.22,15.95,22.0,78.19,1.76,1.84,
Ambagan (41977),2019,1,28.15,14.51,0.0,72.23,3.84,0.39,8.21
Ambagan (41977),2019,2,29.06,16.97,40.0,67.71,3.62,1.89,7.72
Ambagan (41977),2019,3,31.38,20.9,12.0,68.39,3.74,1.97,7.86
Ambagan (41977),2019,4,33.66,23.99,109.0,74.53,4.16,2.37,8.96
Ambagan (41977),2019,5,33.9,25.94,205.0,78.87,4.61,3.61,7.75
Ambagan (41977),2019,6,32.99,26.58,137.0,80.9,3.91,5.67,5.24
Ambagan (41977),2019,7,31.18,25.69,1118.0,86.68,4.46,6.77,3.8
Ambagan (41977),2019,8,32.21,26.15,530.0,83.65,3.94,6.19,5.39
Ambagan (41977),2019,9,32.14,25.62,402.0,84.03,4.03,6.13,4.95
Ambagan (41977),2019,10,32.19,24.6,206.0,83.55,3.23,3.71,6.92
Ambagan (41977),2019,11,31.22,20.99,103.0,81.53,2.51,1.6,8.18
Ambagan (41977),2019,12,27.6,15.98,8.0,78.45,2.81,1.87,7.09
Ambagan (41977),2020,1,26.41,15.03,51.0,77.06,,2.13,6.42
Ambagan (41977),2020,2,28.17,15.83,4.0,65.79,,1.07,7.7
Ambagan (41977),2020,3,32.72,20.79,130.0,65.16,,1.68,8.28
Ambagan (41977),2020,4,32.73,23.59,137.0,80.53,,4.03,6.32
Ambagan (41977),2020,5,33.27,25.27,245.0,82.32,,4.65,5.91
Ambagan (41977),2020,6,32.29,26.03,420.0,86.23,,6.47,4.42
Ambagan (41977),2020,7,31.78,25.81,548.0,87.0,,6.94,4.22
Ambagan (41977),2020,8,31.81,25.78,480.0,85.39,,7.16,3.83
Ambagan (41977),2020,9,32.49,26.13,340.0,85.03,,6.53,4.65
Ambagan (41977),2020,10,33.4,25.99,216.0,83.94,,5.13,6.48
Ambagan (41977),2020,11,31.69,20.73,99.0,80.97,,2.07,7.89
Ambagan (41977),2020,12,28.07,16.23,0.0,80.35,,0.35,7.61
Ambagan (41977),2021,1,28.1,15.86,0.0,73.68,,0.52,6.16
Ambagan (41977),2021,2,30.05,17.0,0.0,67.93,,0.96,7.64
Ambagan (41977),2021,3,33.53,22.8,0.0,69.26,,2.48,6.83
Ambagan (41977),2021,4,33.93,25.03,19.0,75.87,,1.7,7.86
Ambagan (41977),2021,5,33.8,25.63,187.0,75.81,,2.58,7.37
Ambagan (41977),2021,6,31.02,25.46,743.0,86.2,,6.6,2.7
Ambagan (41977),2021,7,31.21,25.55,904.0,86.19,,7.0,2.8
Ambagan (41977),2021,8,31.1,25.18,685.0,86.81,,7.13,3.19
Ambagan (41977),2021,9,32.55,25.57,283.0,82.87,,5.93,6.02
Ambagan (41977),2021,10,32.85,25.31,380.0,83.9,,5.23,6.42
Ambagan (41977),2021,11,31.52,20.61,0.0,73.77,,1.8,8.0
Ambagan (41977),2021,12,27.88,17.1,79.0,75.94,,1.87,6.76
Ambagan (41977),2022,1,26.48,15.75,5.0,74.35,,1.9,6.71
Ambagan (41977),2022,2,28.66,15.72,15.0,63.68,,0.64,9.26
Ambagan (41977),2022,3,33.05,22.04,0.0,67.32,,1.77,8.67
Ambagan (41977),2022,4,33.04,25.83,34.0,83.23,,4.8,8.17
Ambagan (41977),2022,5,32.73,24.95,355.0,84.97,,5.84,5.27
Ambagan (41977),2022,6,31.64,25.71,717.0,87.73,,6.63,3.67
Ambagan (41977),2022,7,33.05,26.36,271.0,85.81,,6.0,6.29
Ambagan (41977),2022,8,32.88,26.14,152.0,83.16,,5.97,5.41
Ambagan (41977),2022,9,32.47,25.63,520.0,85.47,,6.13,5.26
Ambagan (41977),2022,10,32.86,24.46,185.0,82.42,,4.32,7.66
Ambagan (41977),2022,11,31.93,21.15,0.0,75.07,,1.47,8.9
Ambagan (41977),2022,12,29.05,17.39,4.0,75.45,,0.9,8.21
Barisal (11704),2012,1,24.65,12.99,31.0,82.32,0.95,2.03,5.38
Barisal (11704),2012,2,29.61,14.33,2.0,72.72,1.2,0.52,8.29
Barisal (11704),2012,3,33.27,21.84,11.0,74.97,0.88,2.29,7.54
Barisal (11704),2012,4,33.77,23.71,223.0,79.03,1.44,4.07,7.31
Barisal (11704),2012,5,34.61,25.87,105.0,79.74,1.1,3.84,6.91
Barisal (11704),2012,6,33.33,27.22,205.0,86.0,1.15,6.57,3.8
Barisal (11704),2012,7,31.94,26.55,275.0,88.65,1.12,6.9,3.73
Barisal (11704),2012,8,32.09,26.2,270.0,87.45,0.92,6.45,5.14
Barisal (11704),2012,9,31.82,25.98,381.0,89.83,0.63,5.87,4.13
Barisal (11704),2012,10,32.05,23.3,70.0,86.1,0.53,3.19,6.89
Barisal (11704),2012,11,29.16,18.69,44.0,82.87,0.58,2.47,6.07
Barisal (11704),2012,12,25.2,12.67,0.0,85.0,0.7,1.13,5.92
Barisal (11704),2013,1,24.81,10.56,0.0,79.61,0.72,0.29,7.09
Barisal (11704),2013,2,29.04,14.78,6.0,76.11,0.67,1.61,7.69
Barisal (11704),2013,3,33.15,20.98,5.0,75.81,0.97,1.84,8.59
Barisal (11704),2013,4,34.05,24.01,64.0,75.8,1.26,3.47,8.22
Barisal (11704),2013,5,31.39,24.85,701.0,86.81,2.06,6.94,3.8
Barisal (11704),2013,6,32.85,26.82,277.0,84.6,1.2,5.7,5.73
Barisal (11704),2013,7,31.3,26.47,377.0,87.48,1.52,6.42,4.75
Barisal (11704),2013,8,31.42,26.23,398.0,87.74,1.25,6.42,3.99
Barisal (11704),2013,9,32.06,26.03,312.0,88.03,1.0,5.73,4.2
Barisal (11704),2013,10,30.82,24.35,181.0,87.84,0.94,4.74,4.88
Barisal (11704),2013,11,30.04,17.67,0.0,80.6,0.5,0.93,8.47
Barisal (11704),2013,12,26.82,14.18,0.0,82.29,0.52,0.55,6.71
Barisal (11704),2014,1,24.54,11.84,0.0,83.0,0.67,0.55,6.44
Barisal (11704),2014,2,27.35,14.6,15.0,76.89,0.92,0.93,7.6
Barisal (11704),2014,3,32.43,19.89,13.0,71.13,1.12,1.81,8.49
Barisal (11704),2014,4,36.18,24.99,0.0,70.97,0.8,1.4,9.03
Barisal (11704),2014,5,34.74,26.05,235.0,80.74,1.21,4.03,7.43
Barisal (11704),2014,6,32.99,26.53,341.0,85.93,0.9,5.33,4.37
Barisal (11704),2014,7,31.91,26.65,277.0,86.58,1.07,6.55,4.54
Barisal (11704),2014,8,31.64,26.46,253.0,88.94,0.93,6.74,3.81
Barisal (11704),2014,9,32.38,26.08,254.0,85.77,0.76,5.2,5.61
Barisal (11704),2014,10,32.03,23.48,66.0,84.97,0.26,2.81,6.84
Barisal (11704),2014,11,30.3,18.24,0.0,82.27,0.03,0.77,7.66
Barisal (11704),2014,12,25.92,13.94,0.0,85.77,0.15,1.42,5.51
Barisal (11704),2015,1,25.68,13.13,3.0,82.87,0.51,1.55,5.69
Barisal (11704),2015,2,29.14,15.4,24.0,79.86,0.85,1.14,6.67
Barisal (11704),2015,3,32.43,19.06,18.0,72.94,0.72,1.1,8.3
Barisal (11704),2015,4,33.08,23.73,135.0,85.1,0.93,4.87,5.22
Barisal (11704),2015,5,34.73,26.28,72.0,80.61,1.14,3.9,6.4
Barisal (11704),2015,6,32.4,26.47,641.0,85.9,1.43,6.03,3.84
Barisal (11704),2015,7,30.92,25.86,785.0,91.58,1.09,7.35,1.34
Barisal (11704),2015,8,31.71,26.29,254.0,89.06,1.25,6.19,2.12
Barisal (11704),2015,9,32.42,26.04,352.0,88.23,0.72,5.5,3.5
Barisal (11704),2015,10,31.77,24.16,128.0,86.39,0.51,3.68,5.65
Barisal (11704),2015,11,30.02,19.36,19.0,84.93,0.13,1.37,6.81
Barisal (11704),2015,12,26.38,15.77,3.0,83.81,0.39,2.45,3.25
Barisal (11704),2016,1,25.77,12.69,1.0,82.29,0.39,1.06,4.05
Barisal (11704),2016,2,30.17,18.99,31.0,80.79,0.56,2.28,4.76
Barisal (11704),2016,3,33.32,22.3,8.0,76.16,0.88,2.65,6.12
Barisal (11704),2016,4,34.7,26.59,51.0,78.87,1.86,4.8,7.09
Barisal (11704),2016,5,34.09,25.65,438.0,80.77,1.68,4.94,6.23
Barisal (11704),2016,6,33.04,26.62,318.0,84.27,1.27,5.2,5.78
Barisal (11704),2016,7,31.57,26.19,497.0,90.65,1.43,7.0,2.89
Barisal (11704),2016,8,32.05,26.2,574.0,89.61,1.73,6.06,4.63
Barisal (11704),2016,9,32.61,26.16,286.0,89.37,1.32,4.97,5.08
Barisal (11704),2016,10,32.32,24.64,55.0,86.77,0.51,3.71,5.6
Barisal (11704),2016,11,29.55,19.01,92.0,85.27,0.47,1.53,6.78
Barisal (11704),2016,12,27.52,15.22,0.0,85.06,0.48,0.48,5.42
Barisal (11704),2017,1,26.58,12.04,0.0,80.94,1.21,0.16,7.65
Barisal (11704),2017,2,29.92,15.76,0.0,75.96,0.88,0.61,7.74
Barisal (11704),2017,3,30.9,20.18,59.0,81.23,1.49,2.94,6.28
Barisal (11704),2017,4,33.04,24.47,364.0,81.5,1.9,4.5,6.07
Barisal (11704),2017,5,34.92,25.9,118.0,79.0,1.28,3.87,7.63
Barisal (11704),2017,6,32.99,26.45,505.0,87.63,1.61,6.3,4.41
Barisal (11704),2017,7,31.34,26.28,550.0,93.03,1.44,7.03,2.42
Barisal (11704),2017,8,32.54,26.52,342.0,92.0,1.49,6.58,3.87
Barisal (11704),2017,9,32.66,26.01,228.0,91.4,1.06,5.63,3.53
Barisal (11704),2017,10,31.62,24.43,387.0,87.87,1.12,3.97,5.44
Barisal (11704),2017,11,30.44,18.75,14.0,83.93,0.72,1.33,6.92
Barisal (11704),2017,12,27.01,15.45,57.0,86.87,0.53,1.52,5.96
Barisal (11704),2018,1,24.89,10.33,0.0,80.32,1.01,0.39,7.01
Barisal (11704),2018,2,29.87,16.44,0.0,76.75,1.06,0.93,6.78
Barisal (11704),2018,3,33.16,21.36,9.0,74.1,1.21,1.74,7.28
Barisal (11704),2018,4,33.56,22.64,139.0,78.77,1.89,3.7,7.67
Barisal (11704),2018,5,32.87,24.45,259.0,85.39,1.72,5.0,5.88
Barisal (11704),2018,6,33.25,26.2,331.0,86.07,1.6,6.03,4.52
Barisal (11704),2018,7,31.89,26.49,294.0,88.1,1.71,6.87,3.8
Barisal (11704),2018,8,32.41,26.49,189.0,85.61,1.93,6.19,5.53
Barisal (11704),2018,9,33.55,26.49,82.0,84.73,1.37,5.37,5.68
Barisal (11704),2018,10,31.66,22.83,110.0,84.65,0.62,2.87,6.23
Barisal (11704),2018,11,30.33,18.06,1.0,82.93,0.44,0.97,7.5
Barisal (11704),2018,12,26.05,12.84,4.0,82.77,0.67,1.55,5.63
Barisal (11704),2019,1,27.05,10.66,0.0,78.87,1.23,0.35,6.64
Barisal (11704),2019,2,28.88,14.44,64.0,77.54,2.16,1.89,5.4
Barisal (11704),2019,3,31.91,20.0,29.0,74.48,2.29,2.48,7.8
Barisal (11704),2019,4,33.79,23.43,95.0,77.37,2.91,3.03,8.71
Barisal (11704),2019,5,34.89,26.27,139.0,79.77,4.45,4.13,7.76
Barisal (11704),2019,6,34.04,26.72,148.0,83.53,2.99,5.33,5.04
Barisal (11704),2019,7,32.32,26.4,454.0,88.19,2.74,6.71,3.44
Barisal (11704),2019,8,32.71,26.45,255.0,84.84,2.97,6.23,5.65
Barisal (11704),2019,9,32.31,25.9,238.0,87.8,2.13,6.2,3.9
Barisal (11704),2019,10,32.17,23.72,190.0,86.97,1.17,3.32,6.31
Barisal (11704),2019,11,30.29,19.32,365.0,85.13,0.92,1.63,7.27
Barisal (11704),2019,12,25.83,13.58,12.0,84.13,0.87,1.42,5.77
Barisal (11704),2020,1,24.82,12.51,54.0,85.03,,1.84,5.51
Barisal (11704),2020,2,27.9,13.17,2.0,75.59,,1.24,7.58
Barisal (11704),2020,3,32.57,19.02,5.0,70.87,,2.13,8.22
Barisal (11704),2020,4,33.67,22.97,178.0,78.23,,4.17,7.39
Barisal (11704),2020,5,33.63,24.79,272.0,80.13,,4.61,6.75
Barisal (11704),2020,6,32.67,26.27,327.0,88.67,,6.23,3.71
Barisal (11704),2020,7,32.64,26.52,310.0,87.68,,6.48,3.35
Barisal (11704),2020,8,32.18,26.51,453.0,88.23,,6.68,4.19
Barisal (11704),2020,9,33.11,26.32,408.0,87.0,,5.33,4.62
Barisal (11704),2020,10,32.84,25.48,278.0,87.16,,3.61,5.53
Barisal (11704),2020,11,30.59,18.74,5.0,82.63,,1.87,7.26
Barisal (11704),2020,12,26.69,13.25,0.0,83.68,,0.29,6.7
Barisal (11704),2021,1,26.61,12.69,0.0,81.94,,0.65,6.24
Barisal (11704),2021,2,29.59,14.34,1.0,75.93,,0.82,7.91
Barisal (11704),2021,3,34.05,21.72,1.0,73.32,,2.03,7.3
Barisal (11704),2021,4,35.41,24.11,0.0,73.93,,1.83,8.7
Barisal (11704),2021,5,34.79,25.53,50.0,78.61,,4.48,7.53
Barisal (11704),2021,6,31.94,25.82,404.0,90.1,,6.7,2.85
Barisal (11704),2021,7,32.56,26.4,379.0,88.1,,6.84,3.83
Barisal (11704),2021,8,32.54,26.42,296.0,88.06,,6.39,3.85
Barisal (11704),2021,9,32.77,25.94,244.0,86.4,,5.93,5.03
Barisal (11704),2021,10,33.42,24.93,277.0,86.39,,3.74,6.73
Barisal (11704),2021,11,30.53,18.05,1.0,82.17,,1.37,7.76
Barisal (11704),2021,12,26.78,14.73,66.0,84.68,,1.77,6.34
Barisal (11704),2022,1,25.33,12.87,4.0,83.42,,2.23,6.08
Barisal (11704),2022,2,27.91,13.63,33.0,77.75,,1.29,7.94
Barisal (11704),2022,3,33.52,19.68,0.0,73.94,,1.48,8.69
Barisal (11704),2022,4,33.88,25.75,6.0,79.83,,4.03,7.78
Barisal (11704),2022,5,33.69,25.11,208.0,83.23,,4.84,6.77
Barisal (11704),2022,6,33.1,26.43,289.0,86.47,,6.33,3.57
Barisal (11704),2022,7,33.18,26.76,185.0,82.87,,5.03,6.93
Barisal (11704),2022,8,32.91,26.26,331.0,84.84,,5.77,5.62
Barisal (11704),2022,9,32.85,25.91,278.0,87.03,,5.2,4.5
Barisal (11704),2022,10,32.41,23.66,476.0,85.32,,2.84,7.32
Barisal (11704),2022,11,30.91,18.14,0.0,81.03,,1.17,8.73
Barisal (11704),2022,12,27.94,14.09,1.0,83.13,,0.65,7.44
Bhola (11706),2012,1,24.73,13.35,6.0,82.65,0.78,2.19,5.39
Bhola (11706),2012,2,29.32,14.35,1.0,74.52,0.76,0.55,8.13
Bhola (11706),2012,3,32.41,21.84,8.0,77.87,0.93,1.68,7.67
Bhola (11706),2012,4,32.96,23.61,191.0,81.2,0.93,3.23,7.05
Bhola (11706),2012,5,34.18,25.95,96.0,79.48,0.65,3.39,6.98
Bhola (11706),2012,6,32.51,26.79,233.0,85.87,0.94,5.9,3.43
Bhola (11706),2012,7,31.61,26.16,323.0,88.35,0.89,6.19,3.35
Bhola (11706),2012,8,31.77,26.01,285.0,87.1,0.78,5.94,5.28
Bhola (11706),2012,9,31.75,26.15,191.0,88.63,0.72,5.03,4.26
Bhola (11706),2012,10,31.69,23.34,123.0,86.1,0.47,2.55,6.7
Bhola (11706),2012,11,29.31,18.87,35.0,82.87,0.49,2.43,6.13
Bhola (11706),2012,12,25.34,13.3,1.0,85.39,0.49,0.77,5.67
Bhola (11706),2013,1,25.3,10.95,0.0,78.26,0.59,0.65,5.95
Bhola (11706),2013,2,29.29,15.33,9.0,73.68,0.74,1.89,7.43
Bhola (11706),2013,3,32.86,21.12,0.0,74.26,0.65,1.65,7.21
Bhola (11706),2013,4,33.59,24.29,28.0,76.47,0.81,3.07,6.53
Bhola (11706),2013,5,30.78,24.65,655.0,86.23,1.22,6.06,2.56
Bhola (11706),2013,6,32.36,26.72,270.0,84.8,1.93,4.93,4.68
Bhola (11706),2013,7,31.11,26.34,327.0,87.84,1.21,6.1,3.38
Bhola (11706),2013,8,31.0,26.05,477.0,89.65,0.93,5.81,3.1
Bhola (11706),2013,9,31.96,25.97,228.0,87.7,0.64,4.87,3.85
Bhola (11706),2013,10,31.12,24.21,200.0,86.77,0.81,4.39,5.71
Bhola (11706),2013,11,30.43,17.88,0.0,80.93,0.49,1.0,8.39
Bhola (11706),2013,12,27.14,14.25,0.0,83.06,0.63,0.65,6.34
Bhola (11706),2014,1,25.13,12.06,0.0,83.74,0.79,0.87,6.41
Bhola (11706),2014,2,27.83,14.56,16.0,77.89,0.84,1.14,7.11
Bhola (11706),2014,3,32.24,19.83,14.0,73.68,0.75,1.77,7.9
Bhola (11706),2014,4,35.54,24.72,9.0,74.17,0.91,1.3,8.56
Bhola (11706),2014,5,34.49,25.93,129.0,78.81,1.3,3.39,6.72
Bhola (11706),2014,6,32.77,26.02,479.0,86.8,0.81,4.97,3.35
Bhola (11706),2014,7,31.73,26.51,299.0,87.65,1.11,5.81,4.36
Bhola (11706),2014,8,31.28,26.1,496.0,89.42,0.78,6.19,3.11
Bhola (11706),2014,9,32.0,25.63,269.0,87.0,0.67,4.33,5.22
Bhola (11706),2014,10,32.48,23.46,51.0,83.94,0.44,2.48,6.53
Bhola (11706),2014,11,30.5,18.25,0.0,83.37,0.33,0.7,5.81
Bhola (11706),2014,12,26.17,13.85,0.0,86.52,0.37,1.39,3.46
Bhola (11706),2015,1,25.9,13.34,1.0,82.68,0.57,1.68,4.88
Bhola (11706),2015,2,29.02,15.43,10.0,78.43,0.65,1.11,6.22
Bhola (11706),2015,3,32.32,18.81,42.0,73.23,0.75,1.19,7.75
Bhola (11706),2015,4,32.84,23.79,96.0,79.57,0.81,4.27,5.48
Bhola (11706),2015,5,34.11,25.99,76.0,80.06,0.95,3.16,5.93
Bhola (11706),2015,6,31.96,26.36,707.0,86.17,0.75,5.23,3.22
Bhola (11706),2015,7,30.82,25.62,743.0,90.13,0.75,6.74,1.51
Bhola (11706),2015,8,31.82,26.38,416.0,89.16,0.65,5.06,2.84
Bhola (11706),2015,9,32.39,26.02,372.0,88.2,0.43,4.63,4.54
Bhola (11706),2015,10,31.96,24.05,178.0,87.0,0.5,3.23,5.78
Bhola (11706),2015,11,30.19,19.13,6.0,84.27,0.45,1.33,6.46
Bhola (11706),2015,12,26.34,15.76,2.0,84.81,0.39,2.71,2.73
Bhola (11706),2016,1,25.62,12.48,2.0,85.55,0.57,1.13,4.38
Bhola (11706),2016,2,29.94,19.0,31.0,81.86,0.56,2.14,3.5
Bhola (11706),2016,3,33.06,22.07,24.0,81.29,0.63,2.48,6.5
Bhola (11706),2016,4,33.85,26.67,34.0,80.57,1.04,3.53,5.82
Bhola (11706),2016,5,33.58,25.12,473.0,82.42,0.92,4.55,4.66
Bhola (11706),2016,6,32.48,26.5,328.0,85.07,0.75,4.37,4.23
Bhola (11706),2016,7,31.19,26.15,378.0,88.84,0.82,6.13,2.37
Bhola (11706),2016,8,31.89,26.16,567.0,87.81,1.25,5.29,4.32
Bhola (11706),2016,9,32.85,26.14,277.0,86.97,0.66,4.3,4.87
Bhola (11706),2016,10,32.74,24.72,173.0,86.58,0.64,3.32,5.21
Bhola (11706),2016,11,29.62,19.0,173.0,82.23,0.67,1.4,6.28
Bhola (11706),2016,12,28.19,15.05,0.0,82.13,0.37,0.39,4.63
Bhola (11706),2017,1,27.16,12.09,0.0,77.39,0.65,0.26,6.82
Bhola (11706),2017,2,30.49,15.89,0.0,72.93,0.68,0.43,6.5
Bhola (11706),2017,3,30.91,20.35,130.0,77.58,0.83,2.61,6.55
Bhola (11706),2017,4,32.8,24.54,315.0,79.27,1.11,3.5,4.05
Bhola (11706),2017,5,34.82,25.88,99.0,76.71,1.03,2.61,5.1
Bhola (11706),2017,6,33.83,25.27,385.0,82.73,1.22,5.3,3.75
Bhola (11706),2017,7,31.96,25.75,551.0,85.74,0.91,5.48,2.45
Bhola (11706),2017,8,33.06,26.28,395.0,85.1,1.22,5.55,3.93
Bhola (11706),2017,9,32.9,25.59,274.0,84.5,0.97,4.53,3.26
Bhola (11706),2017,10,31.67,24.24,238.0,83.65,0.93,3.81,5.54
Bhola (11706),2017,11,30.47,19.09,17.0,82.13,0.82,1.3,6.81
Bhola (11706),2017,12,26.74,15.85,93.0,86.19,0.74,1.65,4.85
Bhola (11706),2018,1,24.7,11.21,0.0,81.45,1.31,0.32,6.32
Bhola (11706),2018,2,29.6,17.03,0.0,77.39,1.08,1.29,5.45
Bhola (11706),2018,3,33.05,21.87,2.0,75.03,1.47,1.87,7.05
Bhola (11706),2018,4,33.17,23.25,107.0,76.67,1.78,3.1,7.18
Bhola (11706),2018,5,32.32,24.43,300.0,85.0,1.67,4.32,5.4
Bhola (11706),2018,6,32.86,26.31,393.0,86.33,1.78,5.27,4.09
Bhola (11706),2018,7,31.79,26.53,286.0,87.58,2.41,5.81,3.49
Bhola (11706),2018,8,32.34,26.56,185.0,86.06,1.97,5.39,4.92
Bhola (11706),2018,9,33.68,26.44,124.0,85.17,1.43,4.43,5.43
Bhola (11706),2018,10,31.95,23.17,115.0,84.81,0.9,2.58,6.02
Bhola (11706),2018,11,30.51,18.58,0.0,82.1,0.8,1.0,7.71
Bhola (11706),2018,12,26.26,13.46,1.0,82.1,1.09,1.68,5.63
Bhola (11706),2019,1,27.37,11.47,0.0,77.74,1.69,0.48,7.39
Bhola (11706),2019,2,28.55,15.17,57.0,78.5,2.46,2.0,6.33
Bhola (11706),2019,3,31.73,20.64,44.0,74.39,3.08,2.39,6.75
